PMID,TI,AB,JT
,,,
38733347,"Alzheimer's disease: insights into pathology, molecular mechanisms, and therapy.","Alzheimer's disease (AD), the leading cause of dementia, is characterized by the accumulation of amyloid plaques and neurofibrillary tangles in the brain. This condition casts a significant shadow on global health due to its complex and multifactorial nature. In addition to genetic predispositions, the development of AD is influenced by a myriad of risk factors, including aging, systemic inflammation, chronic health conditions, lifestyle, and environmental exposures. Recent advancements in understanding the complex pathophysiology of AD are paving the way for enhanced diagnostic techniques, improved risk assessment, and potentially effective prevention strategies. These discoveries are crucial in the quest to unravel the complexities of AD, offering a beacon of hope for improved management and treatment options for the millions affected by this debilitating disease.",Protein & cell
39612989,An overview of the genes and biomarkers in Alzheimer's disease.,"Alzheimer's disease (AD) is the most common type of dementia and neurodegenerative disease characterized by neurofibrillary tangles (NFTs) and amyloid plaque. Familial AD is caused by mutations in the APP, PSEN1, and PSEN2 genes and these mutations result in the early onset of the disease. Sporadic AD usually affects older adults over the age of 65 years and is, therefore classified as late-onset AD (LOAD). Several risk factors associated with LOAD including the APOE gene have been identified. Moreover, GWAS studies have identified a wide array of genes and polymorphisms that are associated with LOAD risk. Currently, the diagnosis of AD involves the evaluation of memory and personality changes, cognitive impairment, and medical and family history to rule out other diseases. Laboratory tests to assess the biomarkers in the body fluids as well as MRI, CT, and PET scans to analyze the presence of plaques and NFTs are also included in the diagnosis of AD. It is important to diagnose AD before the onset of clinical symptoms, i.e. during the preclinical stage, to delay the progression and for better management of the disease. Research has been conducted to identify biomarkers of AD in the CSF, serum, saliva, and urine during the preclinical stage. Current research has identified several biomarkers and potential biomarkers in the body fluids that enhance diagnostic accuracy. Aside from genetics, other factors such as diet, physical activity, and lifestyle factors may influence the risk of developing AD. Clinical trials are underway to find potential biomarkers, diagnostic measures, and treatments for AD mainly in the preclinical stage. This review provides an overview of the genes and biomarkers of AD.",Ageing research reviews
39918707,Clinical biomarkers of perioperative neurocognitive disorder: initiation and recommendation.,"Perioperative neurocognitive disorder (PND) is a significant neurological complication in aging perioperative patients that impacts post-operative cognition. PND is currently diagnosed through cognitive function testing, which is limited by its subjectivity and time requirements. Thus, the identification of biomarkers to assess PND onset is a priority to identify at-risk individuals and enable interventions and treatments to patient outcomes. This article synthesizes expert perspectives on brain aging and PND, presents the latest clinical evidence on PND biomarkers (imaging, electroencephalography, and molecular biomarkers), and delves into the relationship between PND and other age-related cognitive disorders. Thorough review of PND research identified several biomarkers with high sensitivity and specificity, offering a solid scientific foundation to predict and diagnose PND. These biomarkers not only enhance diagnostic accuracy for clinicians but also provide opportunities for earlier intervention and more effective treatment, potentially enhancing patient outcomes and quality of life.",Science China. Life sciences
38915214,Brain injury biomarkers and applications in neurological diseases.,"Neurological diseases are a major health concern, and brain injury is a typical pathological process in various neurological disorders. Different biomarkers in the blood or the cerebrospinal fluid are associated with specific physiological and pathological processes. They are vital in identifying, diagnosing, and treating brain injuries. In this review, we described biomarkers for neuronal cell body injury (neuron-specific enolase, ubiquitin C-terminal hydrolase-L1, αII-spectrin), axonal injury (neurofilament proteins, tau), astrocyte injury (S100β, glial fibrillary acidic protein), demyelination (myelin basic protein), autoantibodies, and other emerging biomarkers (extracellular vesicles, microRNAs). We aimed to summarize the applications of these biomarkers and their related interests and limits in the diagnosis and prognosis for neurological diseases, including traumatic brain injury, status epilepticus, stroke, Alzheimer's disease, and infection. In addition, a reasonable outlook for brain injury biomarkers as ideal detection tools for neurological diseases is presented.",Chinese medical journal
39930142,Phospho-tau serine-262 and serine-356 as biomarkers of pre-tangle soluble tau assemblies in Alzheimer's disease.,"Patients with Alzheimer's disease (AD) with little or no quantifiable insoluble brain tau neurofibrillary tangle (NFT) pathology demonstrate stronger clinical benefits of therapies than those with advanced NFTs. The formation of NFTs can be prevented by targeting the intermediate soluble tau assemblies (STAs). However, biochemical understanding and biomarkers of STAs are lacking. We show that Tris-buffered saline-soluble tau aggregates from autopsy-verified AD brain tissues include the core sequence ~tau(258-368). In neuropathological assessments, antibodies against the phosphorylation sites serine-262 and serine-356 within the STA core almost exclusively stained granular (that is, prefibrillar) tau aggregates in pre-NFTs while antibodies against phosphorylation at serine-202 and threonine-205 and threonine-231, outside the STA core, stained the entire spectrum of tau aggregates in pre-NFTs and mature NFTs, dystrophic neurites and neuropil threads in the hippocampus. Functionally, a recombinantly produced STA core peptide robustly altered neuronal excitability and synaptic transmission in mouse hippocampal brain slices. Furthermore, we developed a cerebrospinal fluid assay that differentiated STAs in AD from non-AD tauopathies, correlated with the severity of NFT burden and cognitive decline independently of amyloid beta deposition, and with tau positron emission tomography uptake across Braak NFT stages. Together, our findings inform about the status of early-stage tau aggregation, reveal aggregation-relevant phosphorylation epitopes in tau and offer a diagnostic biomarker and targeted therapeutic opportunities for AD.",Nature medicine
39988408,Brain white matter damage biomarkers.,"White matter (WM), constituting nearly half of the human brain's mass, is pivotal for the rapid transmission of neural signals across different brain regions, significantly influencing cognitive processes like learning, memory, and problem-solving. The integrity of WM is essential for brain function, and its damage, which can occur due to conditions such as multiple sclerosis (MS), stroke, and traumatic brain injury, results in severe neurological deficits and cognitive decline. The primary objective of this book chapter is to discuss the clinical significance of fluid biomarkers in assessing WM damage within the central nervous system (CNS). It explores the biological underpinnings and pathological changes in WM due to various neurological conditions and details how alterations can be detected and quantified through fluid biomarkers. By examining biomarkers like Myelin Basic Protein (MBP), Neurofilament light chain (NFL), and others, the chapter highlights their role in enhancing diagnostic precision, monitoring disease progression, and guiding therapeutic interventions, thus providing crucial insights into maintaining WM integrity and preventing cognitive and physical disabilities.",Advances in clinical chemistry
39535517,Blood biomarkers in Down syndrome: Facilitating Alzheimer's disease detection and monitoring.,"Blood-based biomarkers continue to be explored for disease detection, monitoring of progression, and therapeutic outcomes as the diagnostic determination of Alzheimer's Disease in Down Syndrome (DS-AD) remains challenging in clinical settings. This perspective highlights the current status of this effort. Overall, amyloid (A), tau (T), and neurodegeneration (AT[N]) blood-based biomarkers have been shown to increase with disease pathology for individuals with DS. Phosphorylated tau biomarkers (p-tau217, p-tau181) have been consistently shown to track disease progression for DS-AD and are likely good candidates for use in clinical settings. Biomarkers of inflammation (glial fibrillary acidic protein) also show promise; however, additional work is needed. Findings from stability work of blood-based biomarkers conducted among non-DS also support the potential longitudinal utility of biomarkers such as neurofilament light chain and p-tau181 in DS. Gaps in our knowledge are highlighted, and a potential role for sex differences in biomarker outcomes is noted, along with recommendations for determining the appropriate context of use when translating biomarkers into clinical applications. HIGHLIGHTS: An overview of blood-based biomarkers for Alzheimer's disease (AD) was provided for consideration of their utility among individuals with Down syndrome when looking toward potential clinical applications. Longitudinal stability of many blood biomarkers and improvement in detection sensitivity make blood such as plasma a viable source for exploring AD pathology. Variability in reviewed findings regarding the application of blood biomarkers highlights the importance of understanding and defining the appropriate context of use, particularly when translating them into clinical practice.",Alzheimer's & dementia : the journal of the Alzheimer's Association
39807681,Clinical criteria for limbic-predominant age-related TDP-43 encephalopathy.,"Limbic predominant age-related TDP-43 encephalopathy neuropathologic change (LATE-NC) is highly prevalent in late life and a common co-pathology with Alzheimer's disease neuropathologic change (ADNC). LATE-NC is a slowly progressive, amnestic clinical syndrome. Alternatively, when present with ADNC, LATE-NC is associated with a more rapid course. With the emergence of anti-amyloid therapeutics, discrimination of LATE-NC from ADNC is critical and will lead to greater clinical recognition of amnestic patients without ADNC. Furthermore, co-pathology with LATE-NC may influence outcomes of these therapeutics. Thus there is a need to identify patients during life with likely LATE-NC. We propose criteria for clinical diagnosis of LATE as an initial framework for further validation. In the context of progressive memory loss and substantial hippocampal atrophy, criteria are laid out for probable (amyloid negative) or possible LATE (amyloid biomarkers are unavailable or when amyloid is present, but hippocampal neurodegeneration is out of proportion to expected pure ADNC). HIGHLIGHTS: Limbic-predominant age-related TDP-43 encephalopathy (LATE) is a highly prevalent driver of neuropathologic memory loss in late life. LATE neuropathologic change (LATE-NC) is a common co-pathology with Alzheimer's disease neuropathologic change (ADNC) and may influence outcomes with emerging disease-modifying medicines. We provide initial clinical criteria for diagnosing LATE during life either when LATE-NC is the likely primary driver of symptoms or when observed in conjunction with AD. Definitions of possible and probable LATE are provided.",Alzheimer's & dementia : the journal of the Alzheimer's Association
39232196,Alzheimer's disease biomarkers and their current use in clinical research and practice.,"While blood-based tests are readily available for various conditions, including cardiovascular diseases, type 2 diabetes, and common cancers, Alzheimer's disease (AD) and other neurodegenerative diseases lack an early blood-based screening test that can be used in primary care. Major efforts have been made towards the investigation of approaches that may lead to minimally invasive, cost-effective, and reliable tests capable of measuring brain pathological status. Here, we review past and current technologies developed to investigate biomarkers of AD, including novel blood-based approaches and the more established cerebrospinal fluid and neuroimaging biomarkers of disease. The utility of blood as a source of AD-related biomarkers in both clinical practice and interventional trials is discussed, supported by a comprehensive list of clinical trials for AD drugs and interventions that list biomarkers as primary or secondary endpoints. We highlight that identifying individuals in early preclinical AD using blood-based biomarkers will improve clinical trials and the optimization of therapeutic treatments as they become available. Lastly, we discuss challenges that remain in the field and address new approaches being developed, such as the examination of cargo packaged within extracellular vesicles of neuronal origin isolated from peripheral blood.",Molecular psychiatry
